No.,프로파일 이름,응답시간 (ms),패키지,클래스,API
0000,"service(ServletRequest,ServletResponse): void",9882,javax.servlet.http,HttpServlet,
0001,ajp-worker task-3601[3c6bc],0,,,
,Not Profiled,9806,,,
,STACK-TRACE [1],0,,,
0002,FILE_WOPEN /home/keco/WAS/servers/standalone1/upload/ms/1000000162/202308/1001319067/field/1000002461.jpg,0,,,
,Not Profiled,52,,,
0003,DB_OPEN_CONNECTION (jboss/tiberoDS = 442031564),0,,,
0004,"SELECT 			A.MANL_MEAS_NO, 			A.MEAS_STATUS, 			A.FIELD_OFFICER_NAME, 			A.GPS_LAT, 			A.GPS_LNG, 			A.MEAS_MGMT_NO, 			A.UN_MEAS_YN, 			B.ATCH_FILE_URL AS FIELD_OFFICER_SIGN, 			C.ATCH_FILE_URL AS SMPL_CTOR_SIGN, 			C.ATCH_FILE_NAME, 			(SELECT LISTAGG(PIC,&apos;$&apos;) WITHIN GROUP(ORDER BY PIC)  			 FROM (SELECT ATCH_FILE_URL AS PIC  			 		FROM UDRS_MEAS_DATA_ATCH  			 		WHERE ATCH_FILE_TYPE = &apos;$&apos;  			 		AND MANL_MEAS_NO = A.MANL_MEAS_NO)) AS FIELD_PHOTO 			,CASE WHEN A.GPS_LAT IS N...",1,,,
0005,FETCH [1/1],0,,,
0006,DB_CLOSE_CONNECTION (jboss/tiberoDS = 442031564),0,,,
0007,DB_OPEN_CONNECTION (jboss/tiberoDS = 2029126479),0,,,
0008,"UPDATE 			UDRS_MEAS_DATA 		SET 			UN_MEAS_YN = ?, 			UPD_USER_NO = ?, 			UPD_DT = SYSDATE 		WHERE 			MANL_MEAS_NO = ?",2,,,
0009,DB_CLOSE_CONNECTION (jboss/tiberoDS = 2029126479),0,,,
0010,DB_OPEN_CONNECTION (jboss/tiberoDS = 1981766732),0,,,
,Not Profiled,1,,,
0011,DB_SET_AUTO_COMMIT_FALSE,0,,,
0012,DB_OPEN_CONNECTION (jboss/tiberoDS = 409100067),0,,,
0013,"INSERT 			INTO 			UDRS_MEAS_DATA_ATCH ( 				MANL_MEAS_NO, 				ATCH_FILE_NAME, 				ATCH_FILE_TYPE, 				ATCH_FILE_URL, 				ATCH_FILE_SIZE, 				CRT_USER_NO, 				CRT_DT, 				UPD_USER_NO, 				UPD_DT) 								 		 VALUES 		  			 			   			  (  				?,    				?,  				?, 				?,  				?, 				?, 				SYSDATE, 				?, 				SYSDATE 			   ) 			 ,  			  (  				?,    				?,  				?, 				?,  				?, 				?, 				SYSDATE, 				?, 				SYSDATE 			   )",2,,,
0014,"UPDATE 			UDRS_MEAS_DATA 		SET 			FIELD_OFFICER_NAME = ?, 			FIELD_CHK_DTTM = SYSDATE, 			UPD_USER_NO = ?, 			UPD_DT = SYSDATE 		WHERE 			MANL_MEAS_NO = ?",1,,,
0015,"UPDATE  UDRS_MEAS_DATA_FAC 		   SET SEMS_NO = ? 				, UPD_USER_NO = ? 				, UPD_DT = SYSDATE 		WHERE #=# 	    	AND EMIS_CMPY_NO = ? 	    	AND MANL_MEAS_NO = ?",1,,,
,Not Profiled,1,,,
0016,DB_CLOSE_CONNECTION (jboss/tiberoDS = 409100067),0,,,
0017,DB_COMMIT,0,,,
0018,DB_CLOSE_CONNECTION (jboss/tiberoDS = 1981766732),0,,,
0019,DB_OPEN_CONNECTION (jboss/tiberoDS = 669741407),0,,,
0020,DB_SET_AUTO_COMMIT_FALSE,0,,,
0021,DB_OPEN_CONNECTION (jboss/tiberoDS = 2134002585),0,,,
,Not Profiled,1,,,
0022,"INSERT 			INTO 			UDRS_MEAS_DATA_CHG_HIS ( 				MEAS_DATA_CHG_NO, 				MANL_MEAS_NO, 				CHG_DTTM, 				ASSIGN_LOGIN_ID, 			  				CHG_TYPE, 				LOGIN_IP, 				  				CRT_USER_NO, 				CRT_DT, 				UPD_USER_NO, 				UPD_DT 			) 			VALUES( 				SEQ_MEAS_DATA_CHG_NO.NEXTVAL, 				?, 				SYSDATE, 				?, 			  				?, 				?, 				  				?, 				SYSDATE, 				?, 				SYSDATE 				)",13,,,
0023,DB_CLOSE_CONNECTION (jboss/tiberoDS = 2134002585),0,,,
0024,DB_COMMIT,0,,,
0025,DB_CLOSE_CONNECTION (jboss/tiberoDS = 669741407),0,,,
,Not Profiled,1,,,